onset	duration	sample	type	value
290.378640479921	0	72596	Markers	End-Trial-7.06
290.410640330102	0	72604	Markers	Trial Start: No.17-angle:40-left-left-kongruent-blue-FA:no
291.874633475851	0	72970	Markers	Stim-40-L-walk-189-blue--1-kongruent
292.202631940199	0	73052	Markers	WiimoteButtonB pressed
292.206631921471	0	73053	Markers	BUT-LEFT-ButtonB-Press
292.58263016109	0	73147	Markers	WiimoteButtonB released
293.426626209596	0	73358	Markers	Reaction: 0.332-left-blue-correct
293.426626209596	0	73358	Markers	End-Trial-3.014
293.458626059776	0	73366	Markers	Trial Start: No.18-angle:60-right-right-kongruent-yellow-FA:no
294.790619823531	0	73699	Markers	Stim-60-R-walk-121-yellow--1-kongruent
295.078618475154	0	73771	Markers	BUT-RIGHT-ButtonB-Press
295.078618475154	0	73771	Markers	WiimoteButtonB pressed
295.21461783842	0	73805	Markers	WiimoteButtonB released
295.318617351506	0	73831	Markers	WiimoteButtonB pressed
295.318617351506	0	73831	Markers	BUT-RIGHT-ButtonB-Press
295.394616995684	0	73850	Markers	WiimoteButtonB released
296.338612576004	0	74086	Markers	Reaction: 0.291-right-yellow-correct
296.342612557276	0	74087	Markers	End-Trial-2.88
296.374612407456	0	74095	Markers	Trial Start: No.19-angle:40-right-right-kongruent-yellow-FA:no
297.922605159929	0	74482	Markers	Stim-40-R-walk-019-yellow--1-kongruent
298.218603774097	0	74556	Markers	BUT-RIGHT-ButtonB-Press
298.218603774097	0	74556	Markers	WiimoteButtonB pressed
298.31860330591	0	74581	Markers	WiimoteButtonB released
298.858600777703	0	74716	Markers	BUT-RIGHT-ButtonB-Press
298.858600777703	0	74716	Markers	WiimoteButtonB pressed
298.970600253334	0	74744	Markers	WiimoteButtonB released
299.470597912401	0	74869	Markers	Reaction: 0.299-right-yellow-correct
299.474597893674	0	74870	Markers	End-Trial-3.098
299.506597743854	0	74878	Markers	Trial Start: No.20-angle:60-left-left-kongruent-yellow-FA:no
301.014590683601	0	75255	Markers	Stim-NOTshown
301.534588249031	0	75385	Markers	Stim-NOTshown
302.054585814461	0	75515	Markers	Stim-NOTshown
302.574583379891	0	75645	Markers	Stim-NOTshown
303.098580926593	0	75776	Markers	Stim-NOTshown
303.618578492023	0	75906	Markers	Stim-NOTshown
304.138576057453	0	76036	Markers	Stim-NOTshown
304.658573622883	0	76166	Markers	Stim-NOTshown
305.174571207041	0	76295	Markers	Stim-NOTshown
305.698568753743	0	76426	Markers	Stim-60-L-walk-012-yellow-1-kongruent
306.006567311729	0	76503	Markers	WiimoteButtonB pressed
306.006567311729	0	76503	Markers	BUT-LEFT-ButtonB-Press
306.186566468993	0	76548	Markers	WiimoteButtonB released
306.206566375356	0	76553	Markers	WiimoteButtonB pressed
306.210566356628	0	76554	Markers	BUT-LEFT-ButtonB-Press
306.350565701167	0	76589	Markers	WiimoteButtonB released
306.518564914614	0	76631	Markers	WiimoteButtonB pressed
306.518564914614	0	76631	Markers	BUT-LEFT-ButtonB-Press
306.63856435279	0	76661	Markers	WiimoteButtonB released
307.250561487488	0	76814	Markers	Reaction: 0.309-unknown-unknown-incorrect
307.250561487488	0	76814	Markers	End-Trial-7.744
307.286561318941	0	76823	Markers	Trial Start: No.21-angle:40-left-left-kongruent-blue-FA:no
308.814554165051	0	77205	Markers	Stim-40-L-walk-102-blue-1-kongruent
309.102552816673	0	77277	Markers	WiimoteButtonB pressed
309.102552816673	0	77277	Markers	BUT-LEFT-ButtonB-Press
309.266552048847	0	77318	Markers	WiimoteButtonB released
310.362546917523	0	77592	Markers	Reaction: 0.291-left-blue-correct
310.366546898795	0	77593	Markers	End-Trial-3.08
310.402546730248	0	77602	Markers	Trial Start: No.22-angle:60-left-left-kongruent-yellow-FA:no
311.714540587641	0	77930	Markers	Stim-60-L-walk-166-yellow-1-kongruent
312.038539070717	0	78011	Markers	WiimoteButtonB pressed
312.038539070717	0	78011	Markers	BUT-LEFT-ButtonB-Press
312.130538639985	0	78034	Markers	WiimoteButtonB released
312.222538209253	0	78057	Markers	WiimoteButtonB pressed
312.222538209253	0	78057	Markers	BUT-LEFT-ButtonB-Press
312.378537478882	0	78096	Markers	WiimoteButtonB released
313.266533321386	0	78318	Markers	Reaction: 0.326-left-yellow-correct
313.266533321386	0	78318	Markers	End-Trial-2.866
